"Step","blooming-gorge-50 - loss","blooming-gorge-50 - loss__MIN","blooming-gorge-50 - loss__MAX","rosy-morning-34 - loss","rosy-morning-34 - loss__MIN","rosy-morning-34 - loss__MAX","glowing-sponge-42 - loss","glowing-sponge-42 - loss__MIN","glowing-sponge-42 - loss__MAX","effortless-firebrand-30 - loss","effortless-firebrand-30 - loss__MIN","effortless-firebrand-30 - loss__MAX","dauntless-river-36 - loss","dauntless-river-36 - loss__MIN","dauntless-river-36 - loss__MAX","fresh-music-32 - loss","fresh-music-32 - loss__MIN","fresh-music-32 - loss__MAX","earnest-eon-44 - loss","earnest-eon-44 - loss__MIN","earnest-eon-44 - loss__MAX","skilled-violet-48 - loss","skilled-violet-48 - loss__MIN","skilled-violet-48 - loss__MAX","distinctive-valley-40 - loss","distinctive-valley-40 - loss__MIN","distinctive-valley-40 - loss__MAX","sandy-pine-38 - loss","sandy-pine-38 - loss__MIN","sandy-pine-38 - loss__MAX"
"0","70.00087213516235","70.00087213516235","70.00087213516235","80.97237348556519","80.97237348556519","80.97237348556519","77.5390493604872","77.5390493604872","77.5390493604872","73.80493402481079","73.80493402481079","73.80493402481079","88.25295209884644","88.25295209884644","88.25295209884644","83.91356134414673","83.91356134414673","83.91356134414673","31.24640467762947","31.24640467762947","31.24640467762947","75.8308744430542","75.8308744430542","75.8308744430542","89.42936754226685","89.42936754226685","89.42936754226685","35.164549231529236","35.164549231529236","35.164549231529236"
"1","31.937706291675568","31.937706291675568","31.937706291675568","31.80638861656189","31.80638861656189","31.80638861656189","26.813023779127334","26.813023779127334","26.813023779127334","32.613505601882935","32.613505601882935","32.613505601882935","39.498870849609375","39.498870849609375","39.498870849609375","31.402395009994507","31.402395009994507","31.402395009994507","4.529213335365057","4.529213335365057","4.529213335365057","36.34828805923462","36.34828805923462","36.34828805923462","35.705663442611694","35.705663442611694","35.705663442611694","5.342162204640252","5.342162204640252","5.342162204640252"
"2","16.10714626312256","16.10714626312256","16.10714626312256","14.63194489479065","14.63194489479065","14.63194489479065","13.807490401797825","13.807490401797825","13.807490401797825","16.407737016677856","16.407737016677856","16.407737016677856","19.084368467330933","19.084368467330933","19.084368467330933","16.561988472938538","16.561988472938538","16.561988472938538","2.5945392847061157","2.5945392847061157","2.5945392847061157","20.06307315826416","20.06307315826416","20.06307315826416","17.89875841140747","17.89875841140747","17.89875841140747","2.7835822318281447","2.7835822318281447","2.7835822318281447"
"3","8.950064063072205","8.950064063072205","8.950064063072205","8.469816088676453","8.469816088676453","8.469816088676453","7.897233380211724","7.897233380211724","7.897233380211724","9.626081466674805","9.626081466674805","9.626081466674805","12.249034523963928","12.249034523963928","12.249034523963928","6.732560813426971","6.732560813426971","6.732560813426971","1.9142868500202894","1.9142868500202894","1.9142868500202894","9.471497058868408","9.471497058868408","9.471497058868408","13.067932367324829","13.067932367324829","13.067932367324829","1.9135910528046745","1.9135910528046745","1.9135910528046745"
"4","4.954905658960342","4.954905658960342","4.954905658960342","5.126958966255188","5.126958966255188","5.126958966255188","5.024853812323676","5.024853812323676","5.024853812323676","6.192813336849213","6.192813336849213","6.192813336849213","6.2036885023117065","6.2036885023117065","6.2036885023117065","4.457712352275848","4.457712352275848","4.457712352275848","1.5180089678615332","1.5180089678615332","1.5180089678615332","5.611122936010361","5.611122936010361","5.611122936010361","7.840240240097046","7.840240240097046","7.840240240097046","1.2039521634578705","1.2039521634578705","1.2039521634578705"
"5","4.486543595790863","4.486543595790863","4.486543595790863","3.9854620695114136","3.9854620695114136","3.9854620695114136","3.5235391192966037","3.5235391192966037","3.5235391192966037","4.425590604543686","4.425590604543686","4.425590604543686","5.437428176403046","5.437428176403046","5.437428176403046","3.318792939186096","3.318792939186096","3.318792939186096","1.1030002944171429","1.1030002944171429","1.1030002944171429","3.969806581735611","3.969806581735611","3.969806581735611","6.165444999933243","6.165444999933243","6.165444999933243","0.9004086766924176","0.9004086766924176","0.9004086766924176"
"6","3.7847094535827637","3.7847094535827637","3.7847094535827637","3.198919504880905","3.198919504880905","3.198919504880905","3.4688595798280506","3.4688595798280506","3.4688595798280506","3.4492915123701096","3.4492915123701096","3.4492915123701096","3.9994660019874573","3.9994660019874573","3.9994660019874573","2.5902009904384613","2.5902009904384613","2.5902009904384613","0.8925440553575754","0.8925440553575754","0.8925440553575754","3.7589457035064697","3.7589457035064697","3.7589457035064697","3.3334668576717377","3.3334668576717377","3.3334668576717377","0.7135445731026786","0.7135445731026786","0.7135445731026786"
"7","2.641576409339905","2.641576409339905","2.641576409339905","2.770692825317383","2.770692825317383","2.770692825317383","2.038916998439365","2.038916998439365","2.038916998439365","3.0095929950475693","3.0095929950475693","3.0095929950475693","3.487711727619171","3.487711727619171","3.487711727619171","2.3182424008846283","2.3182424008846283","2.3182424008846283","0.7422975683584809","0.7422975683584809","0.7422975683584809","2.6200636327266693","2.6200636327266693","2.6200636327266693","3.0499410927295685","3.0499410927295685","3.0499410927295685","0.6188333034515381","0.6188333034515381","0.6188333034515381"
"8","1.877061977982521","1.877061977982521","1.877061977982521","2.4559741616249084","2.4559741616249084","2.4559741616249084","1.7771284381548564","1.7771284381548564","1.7771284381548564","2.299003094434738","2.299003094434738","2.299003094434738","2.8270713686943054","2.8270713686943054","2.8270713686943054","1.9084914401173592","1.9084914401173592","1.9084914401173592","0.5928556038998067","0.5928556038998067","0.5928556038998067","2.5362904518842697","2.5362904518842697","2.5362904518842697","2.5375080555677414","2.5375080555677414","2.5375080555677414","0.5418076270392963","0.5418076270392963","0.5418076270392963"
"9","2.372788690030575","2.372788690030575","2.372788690030575","2.3302042186260223","2.3302042186260223","2.3302042186260223","2.026780366897583","2.026780366897583","2.026780366897583","2.5735303163528442","2.5735303163528442","2.5735303163528442","2.213158741593361","2.213158741593361","2.213158741593361","2.0439652800559998","2.0439652800559998","2.0439652800559998","0.5433149398304522","0.5433149398304522","0.5433149398304522","1.8538440316915512","1.8538440316915512","1.8538440316915512","1.8326718509197235","1.8326718509197235","1.8326718509197235","0.5129854679107666","0.5129854679107666","0.5129854679107666"
